procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1075532 83060 1910964   0    0     0    24 3277 4658  3  1 96  0  0  0
 0  0      0 1075532 83060 1910964   0    0     0    32 3247 4777  2  2 96  0  0  0
 0  0      0 1075532 83064 1910960   0    0     0    48 4018 6472  4  2 94  0  0  0
 0  0      0 1075532 83064 1910968   0    0     0    44 3867 5852  5  3 93  0  0  0
 0  0      0 1075532 83064 1910968   0    0     0    24 3454 4990  3  2 96  0  0  0
 1  0      0 1075532 83064 1910968   0    0     0     0 3602 4889  3  2 95  0  0  0
 0  0      0 1075532 83064 1910968   0    0     0    28 4056 6589  5  4 91  0  0  0
 2  0      0 1075532 83064 1910972   0    0     0    56 3565 5418  3  2 95  0  0  0
 0  0      0 1075532 83068 1910968   0    0     0   132 4211 7233  5  3 92  0  0  0
 0  0      0 1075532 83068 1910976   0    0     0     0 3388 4852  2  2 96  0  0  0
 0  0      0 1075532 83068 1910976   0    0     0    28 3303 4934  3  1 96  0  0  0
 0  0      0 1075532 83076 1910980   0    0     0    56 3250 5033  2  2 96  0  0  0
 0  0      0 1075532 83076 1910980   0    0     0    24 3723 5571  4  2 94  0  0  0
 0  0      0 1075532 83076 1910984   0    0     0    56 3629 5735  3  2 95  0  0  0
 0  0      0 1075532 83076 1910984   0    0     0    68 3339 4641  3  1 96  0  0  0
 0  0      0 1075532 83076 1910988   0    0     0     0 3257 4494  2  2 96  0  0  0
 0  0      0 1075292 83076 1910988   0    0     0    28 4036 6659  5  4 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1073528 83076 1910988   0    0     0    32 3530 4949  3  2 95  0  0  0
 0  0      0 1073528 83076 1910988   0    0     0    28 3739 5499  4  2 94  0  0  0
 0  0      0 1073528 83076 1910988   0    0     0    20 3325 4655  2  1 97  0  0  0
 0  0      0 1073528 83088 1910980   0    0     0    60 3264 4638  3  2 95  0  0  0
 1  0      0 1073528 83088 1910992   0    0     0    28 3253 4576  2  1 97  0  0  0
 0  0      0 1073528 83088 1910992   0    0     0    24 3633 5463  3  2 95  0  0  0
 1  0      0 1073528 83088 1910992   0    0     0   136 4114 6573  4  2 93  0  0  0
 1  0      0 1073528 83088 1911000   0    0     0    28 3527 5225  3  2 95  0  0  0
 0  0      0 1073528 83088 1911000   0    0     0     0 2950 4543  2  1 97  0  0  0
 2  0      0 1073528 83088 1911000   0    0     0    44 3885 7188  5  3 92  0  0  0
 0  0      0 1073528 83088 1911000   0    0     0    32 3344 5035  3  2 95  0  0  0
 0  0      0 1073528 83096 1910996   0    0     0    52 3592 5541  4  2 94  1  0  0
 0  0      0 1073528 83096 1911004   0    0     0     0 3279 4999  2  2 96  0  0  0
 1  0      0 1073528 83096 1911004   0    0     0    24 3490 5389  3  2 95  0  0  0
 0  0      0 1073528 83096 1911004   0    0     0    28 3152 4329  3  2 95  0  0  0
 0  0      0 1073528 83100 1911000   0    0     0    52 3990 6533  4  2 94  0  0  0
 0  0      0 1073528 83100 1911008   0    0     0    44 4178 7884  7  3 90  0  0  0
 1  0      0 1073528 83100 1911008   0    0     0    28 3258 5435  3  2 95  0  0  0
 1  0      0 1073528 83100 1911012   0    0     0     0 3546 5915  3  2 96  0  0  0
 1  0      0 1073528 83104 1911008   0    0     0    52 3777 6833  9  7 84  0  0  0
 0  0      0 1073528 83104 1911016   0    0     0    40 3642 5620  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
