procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1026128 89328 1915288   0    0     0     0 3120 4861  3  2 96  0  0  0
 0  0      0 1026128 89332 1915284   0    0     0    76 3929 6733  5  4 91  0  0  0
 0  0      0 1026128 89332 1915296   0    0     0   104 3802 6199  3  2 95  0  0  0
 0  0      0 1025372 89340 1915288   0    0     0    88 3728 5979  3  2 95  0  0  0
 0  0      0 1025372 89340 1915300   0    0     0     8 3342 4822  3  2 95  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1025372 89340 1915300   0    0     0    24 3247 4837  2  1 98  0  0  0
 0  0      0 1025372 89340 1915300   0    0     0     0 3556 5716  3  3 95  0  0  0
 0  0      0 1025372 89340 1915300   0    0     0    36 3428 5038  3  2 95  0  0  0
 2  0      0 1024112 89348 1915300   0    0     0    32 3572 6106  3  3 95  0  0  0
 1  0      0 1024112 89352 1915300   0    0     0    72 4192 6798  5  3 92  0  0  0
 0  0      0 1024112 89352 1915312   0    0     0     0 2979 4459  2  1 97  0  0  0
 0  0      0 1023860 89356 1915312   0    0     0    76 4126 7251  4  4 92  0  0  0
 0  0      0 1023860 89356 1915316   0    0     0     0 3507 5414  3  2 96  0  0  0
 0  0      0 1022852 89356 1915316   0    0     0    60 3831 5870  3  2 95  0  0  0
 0  0      0 1022852 89356 1915316   0    0     0     4 3615 5658  2  2 96  0  0  0
 0  0      0 1022852 89356 1915316   0    0     0    32 3352 5330  3  2 95  0  0  0
 0  0      0 1022852 89356 1915316   0    0     0     0 3342 5176  2  2 96  0  0  0
 0  0      0 1022852 89372 1915300   0    0     0   180 3937 7223  4  2 94  0  0  0
 0  0      0 1022096 89380 1915328   0    0     0    40 3593 6008  5  3 93  0  0  0
 0  0      0 1022096 89380 1915332   0    0     0    56 3849 6507  3  2 95  0  0  0
 0  0      0 1022096 89380 1915332   0    0     0     0 3240 5305  2  1 97  0  0  0
 0  0      0 1022096 89380 1915332   0    0     0   104 3937 6297  4  4 92  0  0  0
 0  0      0 1022096 89380 1915336   0    0     0    24 3216 4634  3  1 96  0  0  0
 0  0      0 1020584 89380 1915336   0    0     0    56 3707 6136  3  3 95  0  0  0
 0  0      0 1020584 89380 1915336   0    0     0     0 3483 6035  2  2 96  1  0  0
 0  0      0 1020584 89380 1915336   0    0     0    28 3425 5750  2  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 1020584 89380 1915336   0    0     0     4 3487 5305  3  2 96  0  0  0
 0  0      0 1020584 89384 1915332   0    0     0    60 3522 5983  2  1 97  0  0  0
 0  0      0 1020360 89384 1915340   0    0     0    16 3508 5759  3  2 95  0  0  0
 0  0      0 1020360 89384 1915340   0    0     0    28 3539 5699  4  2 95  0  0  0
 1  0      0 1020112 89384 1915344   0    0     0    24 3512 6351  3  2 96  0  0  0
 0  0      0 1020112 89392 1915336   0    0     0    76 3982 7117  3  4 93  0  0  0
 0  0      0 1020112 89404 1915356   0    0     0   148 3723 5952  5  2 94  0  0  0
 0  0      0 1020112 89404 1915356   0    0     0    60 3547 5455  2  3 95  0  0  0
 1  0      0 1020112 89404 1915356   0    0     0     0 3441 5445  2  2 96  0  0  0
 1  0      0 1020112 89404 1915356   0    0     0    24 3468 5928  3  2 96  0  0  0
 0  0      0 1020112 89404 1915356   0    0     0     0 3228 5632  2  1 97  0  0  0
 0  0      0 1020112 89404 1915356   0    0     0    64 3342 5572  2  3 95  0  0  0
 1  0      0 1020112 89404 1915364   0    0     0    16 3308 5079  3  2 95  0  0  0
 0  0      0 1019888 89404 1915364   0    0     0    32 4009 6734  4  3 93  0  0  0
 0  0      0 1018124 89404 1915364   0    0     0    28 3712 6140  3  3 94  0  0  0
 0  0      0 1018124 89404 1915364   0    0     0    76 4034 6839  3  3 95  0  0  0
 0  0      0 1018124 89404 1915368   0    0     0     0 3220 4832  3  1 96  0  0  0
 0  0      0 1017368 89408 1915372   0    0     0   140 3860 6129  5  2 93  0  0  0
 0  0      0 1017368 89408 1915372   0    0     0     0 3617 5753  3  2 95  0  0  0
 1  0      0 1017368 89416 1915364   0    0     0    60 3558 5564  3  2 95  0  0  0
 0  0      0 1017368 89416 1915376   0    0     0     0 3420 5034  2  2 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1017368 89424 1915368   0    0     0   144 3926 6600  4  4 93  0  0  0
 0  0      0 1015604 89424 1915388   0    0     0    16 3830 6280  4  2 94  0  0  0
 2  0      0 1015604 89424 1915388   0    0     0    28 4044 6448  4  3 94  0  0  0
 1  0      0 1015604 89424 1915388   0    0     0    44 3464 4869  3  2 96  0  0  0
 0  0      0 1015600 89428 1915384   0    0     0    64 4022 7178  4  3 93  0  0  0
 1  0      0 1015600 89428 1915396   0    0     0    28 3515 5520  3  2 95  0  0  0
 3  0      0 1013080 89428 1915396   0    0     0    64 3676 5877  3  3 94  1  0  0
 1  0      0 1013080 89428 1915396   0    0     0     0 3118 4774  2  2 96  0  0  0
 0  0      0 1013080 89436 1915388   0    0     0    52 3275 4903  2  2 96  0  0  0
 0  0      0 1013080 89436 1915400   0    0     0    20 3493 5003  3  2 95  0  0  0
